Instytucja;OkrÄ™g;Mandaty;Komitety;Kandydaci;Wyborcy
Sejm;1;12;7;154;801989
Sejm;2;8;7;109;557291
Sejm;3;14;8;193;980670
Sejm;4;12;8;187;812579
Sejm;5;13;8;199;841167
Sejm;6;15;9;249;970089
Sejm;7;12;8;180;782685
Sejm;8;12;8;183;808014
Sejm;9;10;9;163;669264
Sejm;10;9;8;135;592584
Sejm;11;12;10;200;794134
Sejm;12;8;8;122;512929
Sejm;13;14;8;201;933615
Sejm;14;10;9;157;604838
Sejm;15;9;8;137;569156
Sejm;16;10;7;134;674762
Sejm;17;9;8;139;581104
Sejm;18;12;9;188;762035
Sejm;19;20;7;261;993055
Sejm;20;12;9;199;804045
Sejm;21;12;9;204;827591
Sejm;22;11;10;192;710294
Sejm;23;15;10;256;981103
Sejm;24;14;10;255;958856
Sejm;25;12;8;160;829936
Sejm;26;14;7;188;929393
Sejm;27;9;8;134;610963
Sejm;28;7;8;111;495295
Sejm;29;9;7;119;634111
Sejm;30;9;9;137;584310
Sejm;31;12;8;181;807624
Sejm;32;9;8;135;585638
Sejm;33;16;10;292;945948
Sejm;34;8;8;117;508898
Sejm;35;10;8;151;637830
Sejm;36;12;8;186;797470
Sejm;37;9;9;152;616690
Sejm;38;9;7;119;609423
Sejm;39;10;7;137;686866
Sejm;40;8;7;111;521444
Sejm;41;12;9;208;837243
Senat;1;1;6;6;232701
Senat;2;1;5;5;238761
Senat;3;1;5;5;330527
Senat;4;1;6;6;276552
Senat;5;1;5;5;280739
Senat;6;1;5;5;475471
Senat;7;1;3;3;234415
Senat;8;1;3;3;263255
Senat;9;1;8;8;484224
Senat;10;1;4;4;328355
Senat;11;1;5;5;275037
Senat;12;1;5;5;268594
Senat;13;1;4;4;297536
Senat;14;1;7;7;354078
Senat;15;1;7;7;339028
Senat;16;1;6;6;276983
Senat;17;1;5;5;216354
Senat;18;1;5;5;209847
Senat;19;1;8;8;356484
Senat;20;1;4;4;256647
Senat;21;1;5;5;306166
Senat;22;1;4;4;245201
Senat;23;1;5;5;338848
Senat;24;1;4;4;328279
Senat;25;1;7;7;229522
Senat;26;1;4;4;271729
Senat;27;1;5;5;292883
Senat;28;1;5;5;321820
Senat;29;1;4;4;270764
Senat;30;1;5;5;512929
Senat;31;1;5;5;338536
Senat;32;1;3;3;287308
Senat;33;1;4;4;296100
Senat;34;1;5;5;275622
Senat;35;1;5;5;293534
Senat;36;1;4;4;293838
Senat;37;1;2;2;311000
Senat;38;1;5;5;395740
Senat;39;1;7;7;279022
Senat;40;1;6;6;396249
Senat;41;1;5;5;407796
Senat;42;1;4;4;335504
Senat;43;1;3;3;363743
Senat;44;1;4;4;314832
Senat;45;1;3;3;339545
Senat;46;1;6;6;308028
Senat;47;1;4;4;255290
Senat;48;1;3;3;198717
Senat;49;1;4;4;194098
Senat;50;1;6;6;387006
Senat;51;1;6;6;329139
Senat;52;1;5;5;206669
Senat;53;1;7;7;291783
Senat;54;1;6;6;280585
Senat;55;1;3;3;370574
Senat;56;1;4;4;329944
Senat;57;1;5;5;273286
Senat;58;1;6;6;437008
Senat;59;1;6;6;380948
Senat;60;1;5;5;401410
Senat;61;1;3;3;176498
Senat;62;1;4;4;351535
Senat;63;1;5;5;321042
Senat;64;1;6;6;256816
Senat;65;1;4;4;392512
Senat;66;1;4;4;259250
Senat;67;1;4;4;178174
Senat;68;1;5;5;302080
Senat;69;1;7;7;193215
Senat;70;1;4;4;354114
Senat;71;1;5;5;279997
Senat;72;1;8;8;337333
Senat;73;1;5;5;246977
Senat;74;1;6;6;348054
Senat;75;1;3;3;210220
Senat;76;1;8;8;330211
Senat;77;1;6;6;255427
Senat;78;1;5;5;349104
Senat;79;1;5;5;261859
Senat;80;1;4;4;249350
Senat;81;1;7;7;367669
Senat;82;1;6;6;351152
Senat;83;1;7;7;327127
Senat;84;1;5;5;264462
Senat;85;1;5;5;244436
Senat;86;1;3;3;313320
Senat;87;1;6;6;324510
Senat;88;1;5;5;324002
Senat;89;1;5;5;285421
Senat;90;1;3;3;254453
Senat;91;1;3;3;432413
Senat;92;1;5;5;313647
Senat;93;1;6;6;303043
Senat;94;1;6;6;263297
Senat;95;1;5;5;277992
Senat;96;1;7;7;256181
Senat;97;1;6;6;370147
Senat;98;1;4;4;467096
Senat;99;1;6;6;274488
Senat;100;1;4;4;246956
